iter	RMSE
0	417952.1377
1	402638.6352
2	389346.8272
3	377379.7399
4	366997.7905
5	357946.2645
6	349215.8505
7	342023.4701
8	335359.0911
9	329202.9921
10	323959.439
11	319178.3263
12	314665.4169
13	310490.4006
14	306597.5646
15	303275.6651
16	300090.3855
17	297272.5568
18	294678.0207
19	292056.8933
20	289517.0057
21	287270.5534
22	285041.9973
23	283279.7389
24	281403.6532
25	279253.3177
26	277616.1625
27	276140.5054
28	274625.1689
29	273368.3293
30	272019.3552
31	270630.0101
32	269439.1075
33	268389.8611
34	267284.2569
35	266197.9527
36	265287.7715
37	264227.3301
38	263182.3738
39	262261.5892
40	261333.1874
41	260297.9402
42	259402.5391
43	258574.5152
44	257860.3695
45	257138.3333
46	256505.6092
47	255774.7914
48	255161.1625
49	254632.226
50	254002.7559
51	253425.3544
52	252868.457
53	252219.7075
54	251824.2957
55	251266.6345
56	250697.1624
57	249992.5874
58	249682.9011
59	249005.5365
60	248512.8091
61	248152.6965
62	247707.4328
63	247156.5926
64	246716.9257
65	246185.0848
66	245413.9107
67	245079.6071
68	244702.2969
69	244282.5984
70	243917.4992
71	243499.1508
72	243108.3319
73	242673.0254
74	242343.6634
75	241985.1024
76	241676.2253
77	241328.5344
78	241137.9966
79	240874.2329
80	240499.2008
81	240073.9855
82	239761.1249
83	239430.2489
84	239163.1499
85	238782.0103
86	238484.8926
87	238214.0398
88	237963.9136
89	237587.8201
90	237230.6748
91	236975.9004
92	236631.6433
93	236292.2514
94	235974.5959
95	235685.4993
96	235432.4894
97	235179.5922
98	234988.7906
99	234778.5632
100	234478.824
101	234196.7349
102	233965.1041
103	233723.4234
104	233441.8925
105	233246.9576
106	233029.0496
107	232779.1364
108	232561.9819
109	232336.0641
110	232149.9949
111	231916.6511
112	231664.9828
113	231515.5649
114	231310.14
115	231049.1807
116	230815.5696
117	230692.6493
118	230483.8741
119	230369.5525
120	230168.229
121	229907.2632
122	229701.401
123	229515.9172
124	229349.3589
125	229122.7036
126	228760.8268
127	228507.5349
128	228374.5142
129	228212.1078
130	228011.1748
131	227816.8876
132	227670.252
133	227480.6763
134	227217.5188
135	226975.7873
136	226777.5713
137	226571.3883
138	226352.4368
139	226164.1459
140	225980.4174
141	225789.8606
142	225545.381
143	225376.0066
144	225205.7353
145	225039.3382
146	224841.1082
147	224661.0765
148	224451.0154
149	224285.7971
150	224087.608
151	223926.6977
152	223781.0908
153	223597.5216
154	223421.1063
155	223272.7385
156	223177.825
157	222951.1662
158	222822.6252
159	222647.5391
160	222502.8149
161	222375.4406
162	222251.3966
163	222119.9142
164	222014.3585
165	221860.6611
166	221705.5717
167	221580.2234
168	221446.7365
169	221265.319
170	221071.1008
171	220891.3265
172	220735.511
173	220631.8225
174	220537.1346
175	220369.8048
176	220201.4876
177	220094.552
178	219995.6913
179	219848.9956
180	219721.3511
181	219578.6626
182	219474.966
183	219334.6058
184	219222.6926
185	219124.3586
186	218996.6073
187	218884.4027
188	218784.0212
189	218632.7743
190	218550.6208
191	218406.0502
192	218312.3433
193	218228.6543
194	218114.2405
195	217950.5623
196	217793.1901
197	217696.9088
198	217603.6087
199	217457.1993
200	217317.7066
201	217197.3606
202	217060.3775
203	216941.4445
204	216839.07
205	216735.7653
206	216616.6823
207	216476.9903
208	216375.8386
209	216279.6668
210	216190.576
211	216095.5679
212	215958.2923
213	215837.9926
214	215735.5902
215	215612.4896
216	215500.4747
217	215410.8564
218	215322.619
219	215223.3941
220	215136.9384
221	215019.1966
222	214939.3036
223	214825.6975
224	214726.7858
225	214657.7969
226	214588.4652
227	214488.3914
228	214397.2061
229	214317.5622
230	214230.841
231	214146.1617
232	214056.4909
233	213963.8787
234	213886.4828
235	213795.7329
236	213658.1265
237	213583.3783
238	213488.0178
239	213373.0163
240	213268.158
241	213126.3051
242	213040.8116
243	212943.6385
244	212762.078
245	212650.143
246	212507.8537
247	212428.2077
248	212360.279
249	212274.9556
250	212183.725
251	212040.4428
252	211910.7979
253	211790.9407
254	211720.85
255	211652.0559
256	211516.6068
257	211439.8888
258	211366.0838
259	211318.0552
260	211247.7952
261	211190.6482
262	211130.4618
263	211027.5226
264	210944.8886
265	210861.291
266	210770.9913
267	210702.0042
268	210620.8623
269	210562.7376
270	210457.0701
271	210375.5982
272	210303.5786
273	210195.3909
274	210158.1497
275	210049.6362
276	209949.8597
277	209860.1299
278	209765.9159
279	209719.64
280	209652.099
281	209551.7246
282	209501.5735
283	209457.1378
284	209394.4824
285	209293.1819
286	209216.9373
287	209124.2294
288	209019.7805
289	208923.2377
290	208856.2434
291	208797.7631
292	208735.3475
293	208677.0803
294	208605.8635
295	208572.636
296	208494.2824
297	208409.9036
298	208316.8391
299	208259.896
300	208193.4535
301	208093.9899
302	207965.6926
303	207905.6956
304	207803.5704
305	207727.9456
306	207643.9418
307	207575.4237
308	207540.0868
309	207457.9944
310	207370.3739
311	207273.63
312	207218.5941
313	207160.4802
314	207079.5104
315	207019.1957
316	206958.2186
317	206875.6587
318	206804.3311
319	206744.1045
320	206663.0871
321	206615.1075
322	206553.3535
323	206481.4078
324	206435.6797
325	206369.2199
326	206304.4252
327	206235.7457
328	206152.2694
329	206059.4825
330	205980.2324
331	205931.4692
332	205879.2702
333	205828.1504
334	205782.1278
335	205708.1134
336	205644.8889
337	205576.9156
338	205547.0581
339	205498.7455
340	205449.6201
341	205350.7355
342	205287.1972
343	205234.1089
344	205156.3604
345	205077.6707
346	205032.0416
347	204925.3125
348	204851.8285
349	204800.018
350	204725.3793
351	204642.0233
352	204563.1918
353	204506.5013
354	204450.3662
355	204392.1156
356	204338.936
357	204263.5958
358	204156.5598
359	204114.7944
360	204032.4871
361	203969.8891
362	203879.1368
363	203835.4456
364	203779.1238
365	203729.8232
366	203675.0203
367	203610.7047
368	203571.8798
369	203496.6852
370	203431.0126
371	203395.1847
372	203351.0194
373	203274.1578
374	203233.2188
375	203155.6176
376	203044.6996
377	202994.6631
378	202929.0067
379	202871.5412
380	202791.956
381	202730.368
382	202677.3096
383	202615.2998
384	202564.8621
385	202522.6361
386	202443.2334
387	202410.4793
388	202381.1452
389	202334.9952
390	202284.1865
391	202239.9248
392	202166.9114
393	202087.0179
394	202027.9417
395	201985.6361
396	201935.6137
397	201845.3856
398	201798.7723
399	201747.142
400	201675.3524
401	201622.8504
402	201604.8251
403	201529.0839
404	201455.0787
405	201424.2998
406	201398.6513
407	201369.6103
408	201299.7562
409	201242.0723
410	201192.9818
411	201125.5807
412	201081.7204
413	201023.6637
414	200985.2494
415	200945.651
416	200890.6512
417	200858.9746
418	200767.8131
419	200722.8746
420	200670.6076
421	200633.9444
422	200562.0281
423	200500.1062
424	200457.5169
425	200406.5991
426	200353.1109
427	200321.1994
428	200286.6801
429	200235.1266
430	200206.284
431	200164.9436
432	200129.7794
433	200057.1382
434	200001.1954
435	199954.0283
436	199892.8498
437	199853.8983
438	199804.4621
439	199790.5525
440	199710.3147
441	199686.2506
442	199646.0495
443	199597.5477
444	199573.0613
445	199508.7107
446	199424.8545
447	199403.5469
448	199353.3873
449	199306.2429
450	199237.3773
451	199182.13
452	199104.2161
453	199056.5179
454	199005.3219
455	198984.4043
456	198938.1309
457	198909.6033
458	198876.5463
459	198842.4378
460	198801.8251
461	198777.2078
462	198735.1946
463	198710.1938
464	198662.1011
465	198613.6075
466	198572.8268
467	198535.1604
468	198495.0568
469	198434.3152
470	198402.0469
471	198366.3378
472	198330.9239
473	198269.9722
474	198230.5741
475	198181.4764
476	198156.0558
477	198114.8833
478	198064.0423
479	198017.683
480	197996.5556
481	197943.2395
482	197904.1556
483	197856.6938
484	197817.3791
485	197775.6757
486	197714.72
487	197687.3475
488	197650.0715
489	197603.6586
490	197539.6915
491	197484.4609
492	197437.0031
493	197397.6386
494	197353.8258
495	197312.2853
496	197270.515
497	197217.31
498	197193.5655
499	197154.9018
500	197089.2973
501	197066.9194
502	197043.0253
503	196991.2219
504	196946.0063
505	196888.4778
506	196878.1026
507	196857.7159
508	196820.5575
509	196780.5901
510	196742.7144
511	196713.9893
512	196672.2248
513	196606.0036
514	196558.4844
515	196497.4516
516	196476.085
517	196419.2603
518	196379.6589
519	196335.514
520	196272.7172
521	196249.3066
522	196217.719
523	196181.1084
524	196126.4764
525	196077.2443
526	196052.0724
527	196008.5429
528	195993.3437
529	195955.2791
530	195919.2818
531	195889.7009
532	195854.2778
533	195812.6515
534	195786.6073
535	195762.3158
536	195713.43
537	195677.2311
538	195635.7508
539	195578.4786
540	195540.6695
541	195509.7785
542	195470.0609
543	195423.9658
544	195381.1459
545	195353.2274
546	195321.2992
547	195300.318
548	195276.5451
549	195239.0956
550	195176.21
551	195145.9677
552	195105.7407
553	195073.2449
554	195034.7295
555	194992.0579
556	194942.123
557	194915.6686
558	194868.5903
559	194841.4723
560	194790.8168
561	194751.6893
562	194727.1123
563	194719.7092
564	194678.1437
565	194656.1685
566	194611.5298
567	194579.6561
568	194572.5923
569	194535.7835
570	194500.6952
571	194475.5943
572	194441.6246
573	194410.0455
574	194377.2898
575	194345.4625
576	194313.5751
577	194251.8796
578	194219.0335
579	194185.7488
580	194130.571
581	194123.3375
582	194082.8208
583	194054.6181
584	194007.1907
585	193971.3344
586	193941.7243
587	193903.8375
588	193828.7756
589	193776.8598
590	193736.7723
591	193702.6093
592	193677.3317
593	193640.7161
594	193593.5701
595	193577.7142
596	193543.6237
597	193508.6597
598	193448.3354
599	193401.9481
600	193350.6181
601	193312.6914
602	193288.0379
603	193258.9865
604	193218.6622
605	193194.2256
606	193164.744
607	193135.3293
608	193109.9596
609	193089.2419
610	193067.5131
611	193028.3719
612	193005.4153
613	192954.4105
614	192912.9517
615	192876.6355
616	192834.4977
617	192799.32
618	192767.9441
619	192745.6153
620	192720.1411
621	192667.319
622	192622.699
623	192572.4471
624	192532.6288
625	192485.6539
626	192425.2246
