iter	Passed	Remaining
0	81	81306
1	166	83309
2	250	83292
3	328	81744
4	428	85258
5	504	83586
6	586	83254
7	681	84500
8	765	84237
9	835	82747
10	916	82378
11	997	82127
12	1087	82562
13	1174	82750
14	1253	82303
15	1322	81331
16	1403	81168
17	1474	80462
18	1555	80333
19	1626	79677
20	1702	79386
21	1782	79221
22	1849	78554
23	1937	78808
24	2027	79059
25	2103	78787
26	2175	78382
27	2240	77780
28	2304	77176
29	2370	76654
30	2451	76623
31	2536	76734
32	2594	76020
33	2648	75257
34	2726	75186
35	2932	78524
36	3026	78766
37	3083	78053
38	3141	77400
39	3197	76746
40	3257	76204
41	3324	75840
42	3380	75227
43	3442	74793
44	3514	74584
45	3580	74260
46	3637	73763
47	3712	73621
48	3803	73825
49	3904	74179
50	3990	74246
51	4073	74259
52	4158	74300
53	4231	74127
54	4294	73786
55	4356	73443
56	4414	73039
57	4473	72651
58	4527	72214
59	4589	71905
60	4656	71681
61	4715	71346
62	4780	71105
63	4855	71004
64	4911	70643
65	4970	70337
66	5032	70081
67	5093	69809
68	5153	69529
69	5228	69468
70	5285	69164
71	5342	68860
72	5406	68653
73	5479	68573
74	5559	68565
75	5615	68266
76	5691	68229
77	5752	68003
78	5805	67676
79	5857	67363
80	5921	67183
81	5984	67002
82	6040	66735
83	6101	66539
84	6156	66274
85	6214	66048
86	6271	65809
87	6332	65626
88	6405	65563
89	6463	65348
90	6530	65233
91	6593	65072
92	6663	64983
93	6723	64803
94	6787	64656
95	6848	64487
96	6920	64421
97	6983	64280
98	7043	64100
99	7098	63887
100	7166	63789
101	7224	63601
102	7282	63418
103	7361	63426
104	7422	63265
105	7479	63083
106	7541	62941
107	7617	62912
108	7673	62725
109	7739	62619
110	7813	62576
111	7872	62419
112	7928	62234
113	7982	62040
114	8050	61956
115	8116	61849
116	8173	61683
117	8226	61492
118	8286	61346
119	8341	61168
120	8403	61043
121	8470	60961
122	8525	60787
123	8601	60764
124	8659	60615
125	8723	60512
126	8783	60375
127	8852	60305
128	8910	60164
129	8970	60031
130	9064	60133
131	9119	59967
132	9171	59789
133	9225	59619
134	9287	59506
135	9347	59386
136	9415	59312
137	9472	59166
