iter	Passed	Remaining
0	706	706180
1	1086	542204
2	1423	473035
3	1817	452482
4	2195	436830
5	2350	389394
6	2813	399113
7	3407	422472
8	3613	397925
9	3910	387184
10	4239	381193
11	4501	370648
12	4850	368272
13	5159	363389
14	5468	359088
15	5737	352836
16	5950	344062
17	6364	347208
18	6643	343032
19	6946	340359
20	7172	334360
21	7368	327557
22	7539	320246
23	7633	310420
24	7720	301113
25	7881	295255
26	7947	286393
27	8017	278316
28	8085	270741
29	8207	265361
30	8292	259208
31	8452	255697
32	8537	250181
33	8603	244444
34	8656	238663
35	8753	234412
36	8821	229594
37	8886	224977
38	8948	220509
39	9035	216855
40	9098	212816
41	9164	209028
42	9231	205461
43	9326	202634
44	9387	199223
45	9454	196076
46	9513	192892
47	9601	190435
48	9668	187651
49	9754	185342
50	9826	182856
51	9926	180973
52	9997	178632
53	10094	176849
54	10169	174730
55	10241	172646
56	10336	171001
57	10451	169745
58	10537	168060
59	10620	166384
60	10690	164569
61	10763	162836
62	10845	161308
63	10928	159822
64	10998	158206
65	11077	156760
66	11177	155648
67	11240	154060
68	11406	153898
69	11478	152499
70	11539	150982
71	11608	149616
72	11697	148541
73	11775	147348
74	11828	145887
75	11880	144443
76	11962	143391
77	12020	142088
78	12075	140774
79	12132	139526
80	12223	138687
81	12285	137537
82	12344	136388
83	12407	135301
84	12484	134389
85	12542	133302
86	12612	132360
87	12671	131324
88	12786	130883
89	12844	129869
90	12899	128852
91	12959	127905
92	13050	127279
93	13114	126397
94	13180	125559
95	13236	124645
96	13309	123897
97	13390	123246
98	13456	122469
99	13512	121612
100	13607	121123
101	13674	120387
102	13725	119533
103	13792	118829
104	13893	118421
105	13954	117691
106	14019	117003
107	14079	116289
108	14189	115991
109	14259	115374
110	14334	114802
111	14403	114198
112	14494	113779
113	14564	113190
114	14628	112578
115	14727	112236
116	14792	111639
117	14878	111210
118	14954	110711
119	15011	110083
120	15076	109521
121	15317	110238
122	15570	111019
123	15668	110690
124	15730	110112
125	15814	109700
126	15873	109117
127	15944	108623
128	15996	108010
129	16076	107587
130	16134	107031
131	16213	106612
132	16292	106204
133	16404	106018
134	16464	105493
135	16558	105198
136	16647	104867
137	16749	104621
138	16868	104490
139	16933	104023
140	17007	103614
141	17059	103080
142	17151	102790
143	17245	102517
144	17328	102176
145	17414	101861
146	17493	101511
147	17574	101170
148	17692	101051
149	17799	100863
150	17872	100488
151	17960	100202
152	18016	99740
153	18084	99345
154	18140	98893
155	18277	98886
156	18363	98600
157	18452	98337
158	18574	98247
159	18660	97967
160	18727	97591
161	18790	97198
162	18890	97004
163	18971	96709
164	19068	96500
165	19154	96231
166	19226	95902
167	19322	95693
168	19380	95297
169	19456	94993
170	19510	94585
171	19595	94329
172	19659	93978
173	19737	93697
174	19796	93325
175	19887	93109
176	19951	92769
177	20014	92428
178	20069	92050
179	20161	91846
180	20227	91528
181	20282	91159
182	20348	90846
183	20431	90610
184	20507	90342
185	20576	90048
186	20644	89751
187	20723	89509
188	20788	89201
189	20847	88874
190	20929	88649
191	20992	88341
192	21070	88102
193	21120	87747
194	21207	87548
195	21274	87267
196	21323	86915
197	21381	86606
198	21503	86554
199	21559	86239
200	21620	85943
201	21679	85645
202	21786	85535
203	21855	85277
204	21929	85042
205	21990	84757
206	22102	84673
207	22157	84367
208	22240	84175
209	22307	83916
210	22369	83645
211	22440	83411
212	22542	83290
213	22602	83016
214	22671	82776
215	22738	82533
216	22828	82372
217	22887	82101
218	22949	81842
219	23002	81556
220	23097	81414
221	23181	81239
222	23242	80983
223	23326	80809
224	23404	80616
225	23455	80331
226	23517	80084
227	23618	79970
228	23688	79754
229	23743	79490
230	23806	79250
231	23884	79064
232	23947	78830
233	24010	78597
234	24066	78343
235	24150	78182
236	24217	77964
237	24268	77698
238	24335	77485
239	24415	77314
240	24471	77069
241	24539	76862
242	24592	76609
243	24675	76453
244	24741	76244
245	24802	76020
246	24859	75786
247	24960	75685
248	25019	75461
249	25079	75239
250	25157	75073
251	25254	74961
252	25311	74733
253	25376	74529
254	25433	74306
255	25518	74163
256	25585	73968
257	25641	73744
258	25704	73539
259	25792	73408
260	25852	73199
261	25910	72985
262	25966	72764
263	26053	72632
